,question,answer
0,Wealth Creation With Mutual Funds?,"Being benchmarked against the indices, mutual funds are considered safer than stocks or derivatives. However, since this asset class is also a subject to market risk, it is better to know the subject well before jumping into it."
1,Should I invest directly or through an agent?,"It is each individual’s choice. As an industry, we have seen an increase in SIP investment being made directly. There are many online sites, blogs which demystify the concept of SIP. Investing is easy especially in a good market. It is only in times of volatility that an investor’s nerves are tested. And, it is in such times that we have seen SIP closures, which means direct investors stop buying when the markets are selling at low levels. On the other hand, an advisor will be there to handhold the investor, reason out the benefits of long-term investing and rupee cost averaging. In direct investment, chances are emotions may get the better of you to decide to discontinue SIPs. "
2,"I have been investing in a SIP for two years and yet to see returns, should I continue? ","SIPs diversify over time and meet the risk of timing cost. Benefit of rupee cost averaging kicks in over  a period of time, especially when you get an opportunity to buy at lows. If an investor has started a SIP it is probably to achieve some long-term goal."
3,What should my ideal mutual fund portfolio look like? ,"When it comes to making investments, it has to be unique and customised as per individual investors’ needs. One should take into consideration various factors such as one’s risk appetite, investment horizon and financial goals. Hence, it is often advised that the best way to go about financial planning is with the help of a financial advisor. However, an ideal mutual fund portfolio should have schemes diversified across various asset classes and market capitalisations. Also, one should not ignore debt and gold funds."
4,How to select a good mutual fund to earn maximum returns?,"When making investments, one should consider risk-adjusted returns rather than focusing on maximising returns, since the latter could result in taking undue risks. The factors to be mindful of are the pedigree of the fund house, their track record in managing investments across market cycles, to name a few. Being invested in a good scheme over the long-term can surely aid the investor in having a good investment experience."
5,How many mutual funds should an investor have?,"Ideally one must have five to six schemes in their mutual fund portfolio across asset classes. As a sample case, for a moderate-risk investor, two schemes can be from debt (one liquid fund for emergency purposes and one medium to long-term fund) and three to four schemes in equity split between large and mid cap or may be one or two multicap schemes. On an average every mutual fund scheme (specially equities) own at least 40-50 stocks in the portfolio and by over diversifying you may own way too many stocks which will dilute the portfolio level returns. Thus, one must put a lot of emphasis of what they own (scheme selection) and how much they own (allocation). This will definitely have an impact on your final outcome - the returns."
6,What is the difference in returns between dividend and growth options while selecting  a mutual fund? ,"An investment under ‘growth’ gives you fixed number of units and its value grows with the growth in its net asset value (NAV) over a period of time. So when you sell these units after one year there is LTCG and if they are sold before completing the one-year term then there is short-term capital gains and thus it is quite simple in its concept. Now coming to the dividend, there are two options - dividend payout and divided reinvestment. In the first case, the quantum of dividend declared by the scheme is paid out to the investors directly and to that extent the NAV of the plan falls down. In the second, dividend are reinvested and the process. Dividend plans in the current times are unfriendly. First, they are tax inefficient as dividends now attract 10 per cent dividend distribution tax on both dividend payout and reinvestment plan Second, dividends from mutual funds does not mean incremental profit from the scheme as is the case when you get dividend out of the profits of the company. In fact it is your own capital which is returned to you as and when there are distributable surpluses in the fund albeit with tax which is even more  of a disadvantage.  "
7,"Which is the best mode to select in mutual funds - monthly, half-yearly or annually?","There is nothing as the best mode of investment in SIPs, as investment is a factor of many attributes such as investment objective, risk appetite, liquidity and long or short-term plans. The return on investment in SIP depends upon the amount of investment made by you and the fund’s performance."
8,What are the various options that can boost a portfolio?,"For a investor, it is always a worry, when one is not able to invest consistently during a SIP tenure. To avoid such a senario, many fund houses are offering “SIP pause”, wherein investor can pause an SIP for one to three months.  SIP Booster: Today, one has the facility to choose for SIP amount enhancement at regular intervals – yearly or half-yearly while enrolling for the SIP. The SIP Booster or Top-up as it is called by some, helps an investor increase his or her SIP amount at a pre-determined time interval for example every year.  Systematic transfer plan (STP):  The investors can judiciously use it to maximise benefits from the market. This is best used when you have a lump sum to invest, such as a yearly bonus. Rather than deploying the entire amount at one go into say equity mutual funds, one can invest in a liquid or ultra-short-term fund and then do a monthly STP into an equity diversified fund of one’s choice."
9,What are the charges that I should keep in mind while investing in mutual funds?,"Investing in mutual funds includes one-time charges like entry load, exit load and transactions charges. Entry loads is usually deducted from NAV at the time of investing. SEBI has made it mandatory to discontinue charging entry load, and this practice has been stopped by the fund houses. Exit load is charged when an investor exits from a mutual fund scheme before the lock-in period. The charges are different as per different fund houses. Asset management companies (AMC) charge transaction fees once during an investment when it is starting. They are also known as one time charges. Apart from this, investors also have to pay recurring charges for the maintenance of the portfolio on a yearly basis. All expenses related to mutual funds together are called TER. It is charged by the AMCs to manage a scheme and is expressed as a percentage of the assets managed by the fund manager."
